id	TCGA-DD-AACL_StageI	TCGA-WJ-A86L_StageI	TCGA-EP-A2KC_StageI	TCGA-K7-A5RF_StageI	TCGA-G3-AAUZ_StageI	TCGA-DD-AAD1_StageI	TCGA-BD-A3EP_StageI	TCGA-DD-AAE6_StageI	TCGA-DD-AADJ_StageI	TCGA-DD-AAVZ_StageI	TCGA-2Y-A9GX_StageI	TCGA-DD-A1EG_StageI	TCGA-DD-AAE2_StageI	TCGA-XR-A8TC_StageI	TCGA-FV-A2QR_StageI	TCGA-DD-AAD2_StageI	TCGA-FV-A2QQ_StageI	TCGA-K7-A6G5_StageI	TCGA-DD-A4NN_StageI	TCGA-2Y-A9HB_StageI	TCGA-ED-A7PX_StageII	TCGA-DD-AACH_StageII	TCGA-ZS-A9CD_StageII	TCGA-5R-AA1C_StageII	TCGA-FV-A3I0_StageII	TCGA-ED-A5KG_StageII	TCGA-CC-5258_StageII	TCGA-DD-AAVU_StageII	TCGA-4R-AA8I_StageII	TCGA-KR-A7K7_StageII	TCGA-K7-AAU7_StageII	TCGA-5C-A9VG_StageII	TCGA-UB-A7MA_StageII	TCGA-CC-A9FS_StageII	TCGA-DD-A1EH_StageIII	TCGA-DD-A39W_StageIII	TCGA-CC-A7IE_StageIII	TCGA-BC-4073_StageIII	TCGA-CC-A7IH_StageIII	TCGA-CC-A3MA_StageIII	TCGA-BC-A216_StageIII	TCGA-CC-A7II_StageIII	TCGA-ED-A82E_StageIII	TCGA-LG-A9QD_StageIII	TCGA-DD-A4NE_StageIII	TCGA-G3-A25T_StageIII	TCGA-ED-A7XO_StageIII	TCGA-BW-A5NP_StageIV	TCGA-DD-A119_StageIV	TCGA-DD-A1EK_StageIV
hsa-mir-6716	0.348422	0.345922	0.270297	0	0.242121	1.16637	0.985613	0.631786	0.258004	0.243813	1.1399	0.177147	0	0	0.185667	0	0.456904	0	0.573154	0.254987	0.933727	0.62318	0.667165	0	0.892185	0	0.318987	0.555037	0.711476	0	0.693522	0.756174	0.691832	0.223995	0.54007	0.323228	1.96541	0	0	0.448387	0	1.17914	1.07465	0.45382	0	0.394043	0.425522	0.636513	0.943125	0
hsa-mir-4796	0.348422	0	0.867283	0	0.630583	0.500621	0	0.450298	0.258004	0.452317	0.426427	1.12156	0.764624	0.519798	0	0.264754	0	0	0.573154	0.659903	0.24128	0.536274	0.37181	1.25682	0.610473	0.444987	0.801044	0.768764	0.399159	0.47411	0.141264	0.135442	0.864291	1.0056	0.295161	0.58713	0.403599	0	0.894859	1.00174	0.784409	0	0.306897	0.244681	0.803859	0.394043	0.228393	0.353079	0	0.533867
hsa-mir-3194	1.89982	0.85829	0.270297	0.452897	0.791541	0.271917	0.477223	0.93795	0	0.452317	0.228912	0.477096	0.522889	0.519798	0.971886	0	1.08255	0	0.314855	0.471605	0.24128	0.124386	0.912208	0	0.0919977	0.31135	0.580057	0.160018	0	1.11582	0.388039	0.259253	0.269166	0	0.54007	0.323228	1.38627	0	0.363425	0	1.2897	0.396276	0.211673	0	0.803859	0.504632	0	0.873302	0	0.533867
hsa-mir-4762	0.628851	0	0.497855	0	0.630583	0.390796	0.258255	0.450298	1.12098	0.717573	0.228912	0.606524	0.68846	0	0.350143	0.264754	0	0	0.982252	0.659903	0	1.05695	0.37181	0.279528	0.337289	0.973407	0.801044	0.665854	0.845468	0.256444	0	0.135442	0.495922	0	1.0155	0.170648	0.403599	0.931461	0.653475	0.241544	0.973195	0.706828	0.396224	0.244681	0.37663	0	0.228393	0.353079	0.943125	0.291489
hsa-mir-1291	0.348422	0.345922	0	0.452897	0.630583	0.142356	0.985613	0	0.476793	0.243813	0.228912	0.177147	0.764624	0.519798	0.185667	0	1.08255	0	0.982252	0.254987	0.348303	0.124386	0.197849	0.513587	0.892185	1.66349	0	0.555037	0.399159	0.663201	0.269921	0.577389	0.495922	0.741446	0.54007	0.461205	0	0.748809	0	0.448387	0.311266	0.962228	0.480342	0.244681	0.533521	1.17395	0.425522	0.636513	0	0.291489
hsa-mir-765	0.863542	0.345922	0	0.797073	0.449388	0.697981	0	0.242646	0.834544	0.634458	0.426427	0.725289	0.120838	0	0.497771	0.264754	0.803381	0	1.78193	0.471605	0.125679	0.443794	0.197849	0	0	0.31135	1.45005	0	0	1.23983	0.141264	0.756174	0	0	1.55075	0.58713	0.718621	0.294902	0.363425	0.62926	0.567148	0	0.396224	0	0.803859	0.394043	0.228393	0.353079	0.797553	0
hsa-mir-466	0.348422	0	1.16114	0	0	0	0.258255	0	0	0.127051	0.228912	0	0.120838	0.901114	0.185667	0	0	0	0	0	0	0	0.197849	6.78744	0.0919977	0	0	0	1.08106	3.13442	0	0.135442	0	0	0	1.0909	0	0	5.34105	0	0	0	0	0.244681	0.37663	0	0.228393	0	0.244324	0
hsa-mir-4676	1.24235	0.624733	0	0	0	0.271917	0.667295	0.450298	0.476793	0.452317	0.228912	0.334903	0.432386	0	0.185667	0.852577	0	0.56946	0.314855	0.254987	0.348303	0.443794	0.527032	0.891568	0.410585	0.444987	0.580057	0.768764	0.563753	0	0.598704	0.373273	0.691832	0.588697	0.295161	0.58713	0.403599	0.931461	0.363425	0.348669	1.14011	0.706828	0.480342	0	0.37663	0.703227	0	0	0.797553	0.533867
hsa-mir-520e	0	2.48707	0	0	0	0	1.97837	0	4.60306	0	0	4.76178	0.120838	0	0	0	0.456904	0	0	0	0	0.124386	0	0	0	0	0	0	0.213341	0.256444	0	0	0	0	0	0.170648	0	1.80522	0	0	0	0	0	0	0	0	0.893475	0.353079	0	3.68559
hsa-mir-147b	0.348422	1.39274	0.497855	0	1.0679	0.142356	0.477223	0	0	0.127051	0.426427	0.334903	0.608048	0	0.497771	0.264754	0.456904	0	0	0.254987	0.541121	0	0.197849	0	0.480338	0.164058	0.318987	0	0.213341	0.47411	1.02056	0	0.691832	0.223995	0	0	0.718621	1.70842	0.653475	0.78996	1.42523	1.8192	0.306897	0	1.22797	0	0.753704	0	0	1.08373
