id	TCGA-DD-AACL_StageI	TCGA-WJ-A86L_StageI	TCGA-EP-A2KC_StageI	TCGA-K7-A5RF_StageI	TCGA-G3-AAUZ_StageI	TCGA-DD-AAD1_StageI	TCGA-BD-A3EP_StageI	TCGA-DD-AAE6_StageI	TCGA-DD-AADJ_StageI	TCGA-DD-AAVZ_StageI	TCGA-2Y-A9GX_StageI	TCGA-DD-A1EG_StageI	TCGA-DD-AAE2_StageI	TCGA-XR-A8TC_StageI	TCGA-FV-A2QR_StageI	TCGA-DD-AAD2_StageI	TCGA-FV-A2QQ_StageI	TCGA-K7-A6G5_StageI	TCGA-DD-A4NN_StageI	TCGA-2Y-A9HB_StageI	TCGA-ED-A7PX_StageII	TCGA-DD-AACH_StageII	TCGA-ZS-A9CD_StageII	TCGA-5R-AA1C_StageII	TCGA-FV-A3I0_StageII	TCGA-ED-A5KG_StageII	TCGA-CC-5258_StageII	TCGA-DD-AAVU_StageII	TCGA-4R-AA8I_StageII	TCGA-KR-A7K7_StageII	TCGA-K7-AAU7_StageII	TCGA-5C-A9VG_StageII	TCGA-UB-A7MA_StageII	TCGA-CC-A9FS_StageII	TCGA-DD-A1EH_StageIII	TCGA-DD-A39W_StageIII	TCGA-CC-A7IE_StageIII	TCGA-BC-4073_StageIII	TCGA-CC-A7IH_StageIII	TCGA-CC-A3MA_StageIII	TCGA-BC-A216_StageIII	TCGA-CC-A7II_StageIII	TCGA-ED-A82E_StageIII	TCGA-LG-A9QD_StageIII	TCGA-DD-A4NE_StageIII	TCGA-G3-A25T_StageIII	TCGA-ED-A7XO_StageIII	TCGA-BW-A5NP_StageIV	TCGA-DD-A119_StageIV	TCGA-DD-A1EK_StageIV
hsa-mir-21	17.8585	18.0391	17.9732	16.3482	18.0648	17.6155	17.3491	15.7471	16.2852	17.7872	18.1347	17.9809	17.3325	17.2982	17.7199	18.4134	17.6417	18.1206	16.881	17.773	18.3158	18.8132	17.885	17.95	18.5889	18.1337	17.2246	18.7497	17.6924	18.0498	18.802	18.0284	18.6156	17.2737	16.8489	15.9792	17.6479	18.5271	16.4923	17.7679	16.0249	17.4391	18.3734	18.4033	17.3066	17.9058	16.724	16.4843	17.7765	17.0349
hsa-mir-22	16.6023	16.8846	16.6771	17.5082	16.1689	16.872	17.2274	15.7967	17.4036	16.8772	17.0412	16.5774	17.2458	16.1709	17.2204	17.6079	17.2943	17.4467	15.5691	17.7219	17.1813	16.5919	16.7844	18.0469	15.488	15.9239	15.5454	15.5565	17.3037	16.8616	16.1222	16.4343	16.5647	16.2053	15.0178	16.3728	16.4962	16.7355	17.8369	15.739	16.4244	15.7665	17.1337	16.7859	16.846	16.513	17.1698	14.9792	16.7035	17.208
hsa-mir-148a	15.9168	16.8069	16.4718	16.6618	16.1296	15.2901	16.2225	16.7279	16.2116	16.3471	15.2973	15.7917	16.1767	16.2727	16.3263	15.3347	16.712	15.798	16.5092	16.3278	14.9805	16.2137	15.3603	16.5402	14.1085	15.6095	16.5969	16.2468	16.7625	16.8306	14.5492	16.1189	14.55	16.2868	15.2095	17.5659	15.9603	15.2267	17.6763	13.8955	17.577	15.6276	12.8557	15.8232	17.242	13.4644	16.5593	17.0941	15.885	17.3117
hsa-mir-192	15.5978	16.5147	16.1868	15.9829	16.7988	14.5589	15.5142	17.6822	16.7772	16.797	15.7477	15.9224	17.5344	17.0368	16.4262	15.3359	15.8713	15.9465	15.4584	16.5576	14.334	15.5565	16.3874	16.0336	11.2255	14.8391	16.7951	16.7331	16.297	16.0308	14.7428	14.8086	15.0305	17.2613	16.0308	16.7562	16.4417	15.8009	15.301	12.1112	16.5775	11.6333	11.2305	16.534	17.4942	15.6979	15.6083	16.1759	16.0121	16.8487
hsa-mir-143	13.7568	12.9554	16.0416	15.7265	15.161	15.9799	16.8592	13.1053	12.8677	14.8422	16.7048	16.9655	14.8282	15.6742	16.4917	15.2766	15.4744	14.5669	14.2853	14.9572	16.0753	14.8647	16.7944	14.0743	15.5979	14.9758	14.9728	13.8842	15.8732	13.5466	16.1624	17.3294	15.9863	14.8584	16.1919	14.3026	15.9878	15.911	14.9494	16.2319	16.2154	16.217	15.3762	15.436	14.7234	15.4602	15.5922	13.3611	16.377	14.6272
hsa-mir-103a-2	16.2363	14.9983	14.3358	14.2392	14.1666	15.1852	15.3865	13.9385	16.2836	15.0313	14.096	14.6504	13.6757	15.6587	14.3496	14.4903	14.838	15.1063	17.0946	14.0705	14.4021	14.2611	14.4797	13.6314	13.1951	15.06	15.6958	14.6573	13.3555	15.2749	14.0887	14.254	13.7161	15.4929	14.7199	14.5282	15.2406	14.7923	14.4624	14.3737	13.6388	14.3083	13.6785	14.0721	14.6071	14.4342	14.4144	16.1988	15.0601	14.2695
hsa-mir-103a-1	16.2416	14.9963	14.3252	14.2486	14.1508	15.1738	15.3801	13.923	16.2729	15.0272	14.0986	14.6375	13.674	15.6564	14.348	14.4849	14.812	15.1086	17.0978	14.059	14.3977	14.2466	14.4708	13.6226	13.1881	15.0557	15.7036	14.6524	13.3343	15.2726	14.0785	14.2507	13.7131	15.4832	14.7186	14.5208	15.2425	14.7817	14.4613	14.3664	13.6416	14.2774	13.674	14.0619	14.6083	14.4363	14.4077	16.1987	15.0527	14.2617
hsa-mir-30a	12.8882	12.5665	15.216	15.975	14.5871	14.3733	14.3166	15.0756	14.6214	11.9637	14.906	14.0939	13.8317	13.5835	13.8	14.298	13.7542	14.5836	13.3129	14.3865	14.8849	12.0866	14.6609	13.9571	17.5672	13.9939	12.5879	13.1504	13.6675	13.0448	14.7254	13.3522	15.4471	14.0488	13.9323	12.4395	12.8097	13.7228	15.3499	16.498	13.1379	12.6475	16.5961	14.8779	14.7641	16.4359	15.4893	15.0551	14.6669	14.6492
hsa-mir-30e	14.0624	14.909	14.1037	15.3903	14.3125	13.9181	13.9498	13.8935	13.791	12.9156	14.4378	13.9846	14.229	14.3048	14.0763	13.5082	13.6446	14.1202	13.9927	14.6582	13.9233	12.6437	13.9525	13.5804	13.0582	14.4773	14.4296	12.6223	14.3437	13.7698	13.2709	13.3615	13.3969	13.9797	14.5633	14.2614	13.464	15.161	14.6229	14.0935	15.7871	13.2178	15.1182	13.993	15.0113	14.9512	15.504	14.3765	14.2912	14.8732
hsa-mir-30d	12.9549	13.1861	14.1953	12.8894	14.8627	15.3004	13.1189	13.3246	14.3319	14.8547	12.9772	13.69	13.465	14.0387	12.1577	14.2001	13.9716	14.9141	13.9102	13.3986	13.4962	13.687	14.7998	12.7563	13.9036	13.4222	14.8933	13.327	12.6218	13.6482	14.0041	13.3436	13.3077	15.263	13.0133	12.1464	13.9458	12.8577	14.445	16.4873	12.5952	12.4542	14.1156	14.1569	13.3253	14.8537	13.2747	15.3073	14.4333	12.6398
hsa-mir-122	14.796	14.5877	15.063	15.2594	14.4419	13.588	13.8117	15.1898	14.4006	14.4651	13.3934	13.8812	13.4822	13.7374	14.6459	14.1807	14.8098	14.4853	13.519	14.6608	10.9191	12.8938	14.2017	13.9725	5.06443	11.9623	14.8994	14.1241	14.6016	15.4465	12.1818	13.043	12.7871	14.8228	12.559	16.2158	14.5521	12.9526	14.3006	10.9287	14.3789	7.57009	5.69946	14.5764	13.284	10.4254	14.6688	13.4921	14.0369	14.1509
hsa-mir-10a	11.8715	10.9287	13.4274	15.7634	12.7476	14.9578	13.8367	10.9988	11.556	12.1619	14.8187	13.6019	12.5895	12.7806	13.244	14.1941	13.8381	13.5962	13.3125	13.5112	14.6855	14.7956	14.1422	11.8163	14.8923	14.3896	12.4167	9.95857	13.0249	11.6951	14.5143	14.6888	16.0643	12.2652	13.8611	12.806	13.0214	13.8647	13.2099	14.4005	12.6534	13.8343	15.1733	13.5374	13.1717	13.4453	15.4304	12.6365	14.7485	10.8847
hsa-let-7a-2	11.8852	14.2732	13.6213	12.4607	14.8375	14.3827	12.5589	13.4343	12.65	14.4482	13.1394	14.2588	14.6366	13.7694	12.8256	12.7449	12.4482	13.5072	13.0946	13.1407	12.0732	14.5318	14.1223	14.412	12.2102	12.8651	12.4758	13.716	14.6762	11.3733	12.8852	13.4179	13.2957	13.7193	15.4757	13.1375	12.7754	13.1392	12.8399	13.9487	13.9729	11.9591	13.1935	13.2954	12.5895	13.7905	13.489	13.1571	14.1654	13.3407
hsa-mir-99b	14.0017	10.8425	13.5507	14.1019	12.4625	14.7515	13.9857	11.1009	11.4358	12.0877	14.3882	13.3913	12.1944	12.801	13.2107	13.8096	13.5068	12.7747	14.1391	12.6328	14.5305	11.838	13.3574	11.3448	13.8309	13.6534	14.9421	10.3823	12.2758	11.4914	14.6696	14.2412	13.6015	11.8469	13.071	14.5988	14.4824	13.4116	12.681	14.6252	12.8834	15.3916	15.4608	12.6686	13.2367	16.352	13.8393	13.1004	14.3578	11.9854
hsa-mir-92a-1	13.4723	12.9864	13.09	13.3228	13.2928	12.4009	13.4814	14.297	13.9341	13.3126	12.4216	13.6508	11.8881	14.8482	12.4253	12.9844	13.9411	13.0586	13.6802	12.7956	13.2804	11.2323	12.8805	12.0257	12.0011	12.7781	15.265	13.1114	12.9241	14.3325	12.8424	14.4755	14.1256	12.4459	12.8594	13.2741	14.9394	13.4401	12.3476	12.8321	13.5815	14.2957	12.4981	12.2244	13.4185	12.0748	13.3498	15.0267	13.6532	13.0031
hsa-mir-25	13.8865	12.9668	12.7679	13.3154	12.7214	12.6619	13.7315	13.6994	12.5554	12.2708	12.6502	12.9796	12.3116	13.1653	12.568	12.1955	13.0172	12.7214	14.7972	12.3184	12.5618	12.4881	12.2228	11.7581	12.4589	13.4299	14.5234	13.2538	12.7209	13.783	12.6937	12.1858	13.0528	13.0741	13.5881	13.6006	13.4404	12.7204	13.395	13.3739	13.5748	14.9019	13.0831	12.0309	14.0057	12.8453	13.7637	13.9161	12.4467	13.0909
hsa-mir-92a-2	13.35	12.7614	12.9312	13.047	13.0638	12.1435	13.329	14.1688	13.7416	13.1494	12.2765	13.5035	11.6644	14.6315	12.3221	12.7371	13.7998	12.7333	13.4889	12.6165	13.156	11.0722	12.6665	11.7448	11.8632	12.5631	15.2149	12.9298	12.7575	14.1692	12.7093	14.3954	13.7727	12.164	12.7523	13.0999	14.8588	13.2889	12.1189	12.6208	13.439	14.2196	12.3715	12.0258	13.1666	11.9533	13.1743	14.7211	13.446	12.8897
hsa-let-7a-3	11.9009	13.2769	12.6177	12.485	13.8506	13.3925	12.5643	13.4448	12.6714	13.4652	13.1468	13.263	13.6567	13.7652	12.8375	12.7794	12.4734	13.5277	13.1288	13.1506	12.0661	13.5344	13.1462	13.4047	12.2141	12.865	12.4598	12.7298	13.6793	11.3745	12.9006	13.4299	13.2981	13.7096	14.4869	13.1436	12.798	13.1645	12.8442	13.96	13.9866	11.9395	12.1953	13.2921	12.5935	12.7985	12.4925	13.1525	13.1703	12.3451
hsa-let-7a-1	11.8539	13.2669	12.6163	12.4563	13.8552	13.3906	12.5633	13.4462	12.6601	13.4548	13.137	13.2563	13.6401	13.7573	12.8331	12.773	12.4539	13.5132	13.1312	13.1562	12.0704	13.5361	13.147	13.4231	12.2107	12.8679	12.4555	12.7277	13.6889	11.3991	12.8873	13.4142	13.3071	13.7221	14.4833	13.1519	12.7928	13.1363	12.8445	13.95	13.9843	11.9476	12.1968	13.2844	12.5933	12.7867	12.4904	13.1479	13.1658	12.3408
hsa-mir-10b	15.3341	13.3137	13.8883	13.8689	7.87587	16.0149	14.8497	15.3402	16.2478	13.5404	10.0625	12.211	8.74132	11.4472	12.9034	10.8076	15.3664	13.0673	11.867	9.53568	12.9141	12.5967	14.8571	14.5382	8.66772	16.3317	13.7319	12.5228	14.6749	14.0888	12.0991	13.2902	10.8112	11.5726	16.7231	15.0872	13.7975	14.469	11.6211	8.67429	14.7694	13.8456	13.3284	14.2599	9.30869	9.06205	13.1126	16.0836	12.7768	13.5469
hsa-mir-101-2	12.4137	12.9198	13.6725	12.69	13.8376	12.7859	12.5655	12.971	12.4186	13.0335	13.7073	13.4737	14.3789	12.5184	13.373	12.1355	13.3665	12.1215	12.3279	13.3613	11.8778	11.4265	12.3597	13.1832	11.7602	13.6215	11.5315	12.6227	13.9299	12.8258	12.1614	12.5378	11.6541	12.7806	12.737	13.9504	12.2092	12.1047	14.699	12.4655	12.6595	12.7467	12.2599	13.4494	11.771	11.9202	14.5343	12.2799	12.719	14.1731
hsa-mir-101-1	12.3983	12.8927	13.6695	12.6632	13.8154	12.7634	12.5502	12.9738	12.3956	13.0171	13.6893	13.4551	14.3638	12.4874	13.3566	12.1332	13.3693	12.0786	12.3232	13.338	11.8516	11.3989	12.3539	13.1486	11.7448	13.6025	11.4932	12.6093	13.9129	12.7962	12.1497	12.4978	11.6241	12.7695	12.716	13.9344	12.2199	12.0781	14.6887	12.4439	12.654	12.7417	12.2478	13.4419	11.7365	11.9076	14.5212	12.2445	12.7039	14.1652
hsa-mir-194-2	12.4819	13.4095	12.9524	12.5145	13.6347	12.2807	12.5315	14.9447	13.8193	14.4822	12.2821	12.7994	14.8076	14.1849	13.182	12.5898	12.9001	13.3099	12.6037	13.1067	11.3903	12.6734	12.6794	13.1641	8.35401	11.9493	13.4721	14.4562	12.8375	12.6299	11.6253	11.7108	11.0125	14.6859	13.2715	14.0709	12.8331	12.3588	12.3131	8.93555	12.8513	7.76509	7.64014	13.0389	14.221	12.5727	12.3819	13.4644	13.2014	13.4628
hsa-let-7b	11.1174	11.3911	12.2156	13.0321	13.1783	13.4992	11.6789	12.6309	11.061	13.103	13.1363	12.6964	13.3169	12.9492	12.5261	12.5698	12.1467	12.7092	13.281	13.3247	11.8012	12.7527	12.6578	10.8329	12.5619	13.1514	12.0367	11.1323	12.8962	9.93503	12.4127	12.6235	12.6015	12.1605	14.2206	12.4726	12.3388	12.6487	11.5268	14.8825	13.3257	11.9216	12.3198	13.364	12.6371	12.3882	12.653	13.4731	13.3756	11.8534
hsa-mir-194-1	12.2617	13.2077	12.8518	12.2021	13.5075	12.1665	12.3492	14.7842	13.686	14.379	12.1627	12.6605	14.6984	14.0193	13.0596	12.4301	12.7843	12.9626	12.3508	12.9204	11.1932	12.5039	12.4338	12.9366	8.24864	11.7084	13.3328	14.348	12.6843	12.3888	11.3815	11.5021	10.742	14.5442	13.2164	13.9329	12.5274	12.2548	12.1753	8.79818	12.7324	7.4422	7.49729	12.9036	13.9232	12.4816	12.1866	13.2128	13.0847	13.3627
hsa-mir-29a	12.2215	11.3004	13.1621	12.5118	12.3967	12.4045	13.9137	13.2136	11.293	10.9489	12.7304	13.1747	12.3337	10.6562	13.3973	12.4907	13.0629	12.5	9.60728	12.7499	13.0729	11.7719	12.9531	12.5712	14.3217	13.0706	11.3087	13.1311	12.8806	13.1617	12.9813	11.8149	11.1321	12.5471	11.0068	13.7898	12.8243	12.8738	12.4316	12.006	11.7664	11.2041	12.6948	12.856	10.9816	13.5687	13.8303	11.0272	12.9455	12.5973
hsa-mir-93	13.8508	12.4575	12.1963	11.8623	11.5834	12.6868	12.7883	11.959	13.2969	12.294	11.5712	12.4186	11.4089	11.8851	11.6331	11.9118	12.3115	12.4676	14.7565	11.5978	11.8749	12.0287	11.3729	11.779	11.01	13.1188	13.0301	12.6333	10.9769	13.0846	12.2544	12.1762	12.3335	12.2604	11.7099	12.727	13.2487	11.2322	12.0344	13.1799	12.543	14.3511	11.3924	10.9735	13.5585	12.2834	12.0027	13.6726	10.9409	11.8537
hsa-mir-100	9.94949	13.9461	13.846	14.1045	13.499	13.2646	13.2158	12.0927	12.4598	13.5608	14.0532	12.9686	13.0862	12.2515	12.1378	12.2779	12.228	11.9251	11.2945	12.0301	12.1236	11.1949	11.8513	13.4688	12.5262	13.3191	11.4751	11.9748	13.9322	8.14798	11.6813	12.8953	10.1628	14.0423	13.2833	14.0828	9.33025	11.3319	13.4438	10.8149	7.77585	11.9946	11.8655	12.0217	10.5435	11.1346	13.7826	11.6312	13.1828	14.418
hsa-let-7f-2	11.299	10.5271	11.4793	11.1425	13.2202	12.1718	11.6747	13.0104	10.6256	13.0894	12.1586	12.1782	12.7114	13.7123	11.9903	11.6746	10.2572	13.0586	12.2572	11.9619	11.352	12.9979	12.6304	12.8991	11.5278	12.279	11.6523	12.8048	13.0942	10.5359	12.6418	13.0042	13.2645	13.3192	14.2053	12.5744	13.0416	11.178	12.0486	11.773	13.8291	11.0394	11.074	12.4083	11.1333	12.5597	11.3492	12.4537	12.4476	10.0508
hsa-let-7f-1	11.2519	10.4684	11.4545	11.1321	13.1908	12.1416	11.6485	12.9616	10.6246	13.0696	12.1462	12.1603	12.6815	13.6784	11.9564	11.6112	10.2364	12.9904	12.2338	11.9445	11.3241	12.9577	12.5776	12.776	11.5098	12.2633	11.6668	12.7452	13.0767	10.4785	12.6198	12.9881	13.1768	13.2341	14.1878	12.5523	13.033	11.195	11.9504	11.7125	13.7684	11.0429	11.0463	12.3811	11.0758	12.5206	11.279	12.3643	12.4198	9.97872
hsa-mir-182	13.1739	12.9756	10.7142	11.7674	12.4279	12.8259	11.5941	7.74404	10.116	9.5223	10.733	10.032	7.24264	10.6052	13.9544	9.43779	13.3915	10.4449	12.7964	13.2214	14.8505	11.7019	11.297	7.85803	14.1912	14.2085	8.63003	12.6439	12.6859	13.4082	13.1764	13.2723	11.8478	13.02	15.806	11.9565	9.34894	12.4154	7.83581	15.9402	13.4778	13.9537	14.9415	12.2043	13.7762	15.5474	11.9637	13.3654	11.3269	13.3053
hsa-mir-126	12.4676	11.1101	12.6048	12.5909	11.4887	12.1199	12.6993	11.7257	11.9832	11.5072	12.0674	12.7444	12.3902	11.6362	12.4097	12.2454	13.0679	11.6002	13.2726	12.6931	11.87	11.2745	12.7613	11.4795	10.4359	12.4109	11.412	11.0129	11.8057	11.9459	11.1688	11.8541	11.653	12.5388	11.3769	12.5924	12.9051	11.1473	12.4238	12.1886	13.921	12.1271	11.8741	11.8227	12.7138	11.8464	13.4264	12.5773	11.3669	11.3958
hsa-mir-27b	11.8626	12.6853	12.4199	11.4782	12.4663	11.6655	12.9504	11.1394	12.9596	11.7879	11.9546	12.2425	12.156	12.2257	12.7716	11.1795	11.5597	11.6085	11.1289	11.1618	11.7125	10.981	13.0827	11.6274	11.7101	10.3637	11.0661	11.7236	11.9246	12.3842	12.1374	11.8052	11.1232	13.073	12.6647	12.6781	12.6992	11.1256	12.1988	12.7322	11.8971	12.3408	12.2964	12.248	10.8891	12.2873	12.7807	12.1739	11.4801	11.909
hsa-mir-28	12.3437	12.315	11.7524	12.8162	11.5036	11.7992	11.948	12.7228	8.2569	11.0661	11.4838	11.9491	11.9059	10.7619	11.8489	11.4409	11.7705	11.9378	12.4195	11.3647	11.9003	11.4377	11.6067	11.6209	10.9606	12.0648	12.3458	10.6031	11.7088	11.9892	11.8316	10.4791	11.901	10.7585	11.8588	11.6196	12.9457	13.2985	11.5519	11.5203	11.8318	10.9377	11.8099	11.7247	12.3042	11.9175	12.6038	12.246	12.0973	11.8175
hsa-mir-23a	11.5862	11.6296	11.7731	11.1995	11.3231	11.8118	11.6747	10.0984	9.66829	11.0137	12.3239	12.373	10.8112	10.4715	12.3108	11.8352	11.6733	10.3281	10.648	11.5802	12.9683	11.7607	11.8705	10.5408	12.5497	11.2872	10.4556	9.93991	11.2118	10.4406	12.3419	12.1497	11.8039	10.8026	11.3431	10.5608	11.1751	12.3282	11.2596	13.7712	10.5988	13.2942	12.7495	10.7947	11.2598	12.4859	11.7574	10.4878	11.6826	11.4208
hsa-mir-23b	11.1676	12.3994	12.1762	10.6875	11.6795	11.7929	11.9035	10.9132	12.8048	11.4658	11.3585	11.9348	12.1799	11.6919	11.7596	10.9202	11.0915	11.0612	11.2589	10.6853	10.8286	10.8388	11.8944	11.5555	10.622	9.80397	10.2622	10.912	10.786	11.6228	10.8147	11.1799	10.3715	12.6121	11.7914	12.5235	11.0992	10.9374	12.3617	12.7621	11.0259	11.4691	11.3687	11.1982	10.5343	11.9412	11.6919	11.7375	11.3464	11.3089
hsa-mir-151a	11.5099	10.0958	11.7521	9.72181	11.5049	11.5448	11.1805	10.848	11.074	12.2063	10.8238	12.2609	10.66	11.8013	10.8256	11.0662	11.779	11.575	11.2909	10.4177	10.3604	10.9452	11.8954	11.1055	10.8143	10.5952	13.8748	11.2523	10.5567	12.4732	11.0885	10.7926	10.3463	12.4195	11.7062	11.1852	13.1216	10.7604	11.6145	11.6188	10.8842	12.5127	11.0247	11.8415	10.1329	12.3797	10.3313	11.1587	12.4221	10.7721
hsa-mir-1307	13.0654	11.8466	11.5681	10.0496	10.7044	10.4289	10.6748	11.175	12.0957	11.1498	10.1187	11.5306	10.847	11.8437	9.81979	10.4878	11.5497	10.9335	12.5836	11.014	10.6108	10.5524	10.3291	9.4609	8.9797	10.8571	12.3967	10.7827	10.193	11.9759	10.8266	10.1999	10.0914	10.7237	10.6237	10.3245	12.3505	10.1293	11.1661	10.5349	10.6061	12.04	11.367	10.4038	9.78056	11.1996	10.3957	11.4834	10.637	11.4808
hsa-mir-17	11.5581	10.3717	10.5681	10.8001	10.7755	10.4803	11.4559	10.7347	12.4231	12.1091	10.1296	11.5731	9.8717	11.7483	9.81826	10.6085	11.7352	10.7385	12.0673	10.5326	10.8451	9.45087	10.5528	9.63799	9.66524	10.8494	12.4488	11.2738	10.3156	11.9745	10.9237	13.0894	11.2129	10.3674	10.1942	10.8272	13.4586	9.85965	9.83379	10.6145	11.4874	11.8023	9.48144	9.68789	11.5705	9.69066	10.6794	12.7404	10.3228	10.3211
hsa-mir-375	7.04272	10.8622	6.82138	12.9842	12.3753	14.2579	7.4486	10.7023	12.2032	14.0322	10.6863	10.2245	10.4087	12.9632	10.5623	12.3961	10.8432	10.0358	14.0058	8.72922	15.1675	10.4244	9.49198	4.58396	14.2439	14.7449	12.6084	8.27818	8.34994	9.96004	11.114	11.2179	11.3588	10.8879	14.4966	7.15238	12.7551	9.78521	5.52283	9.93098	14.8113	16.7709	7.46217	8.80353	8.16903	11.4594	11.7749	12.4634	11.2215	9.19545
hsa-mir-29c	10.0376	9.94418	12.0289	10.6198	10.1976	11.5485	13.2668	10.27	9.16535	11.0688	10.8213	12.2361	12.1053	8.675	13.1112	10.2695	11.992	10.6228	9.86027	12.5503	10.9143	9.70997	10.4461	11.0778	11.9009	12.8899	7.34067	9.72438	10.8108	10.4629	9.96546	9.29709	8.90793	10.8595	10.249	12.6615	10.1917	11.9206	11.5248	11.1641	11.6219	9.28331	10.427	10.8849	8.92937	9.79346	12.366	8.7564	11.6828	13.1941
hsa-mir-183	12.9805	12.1199	9.36355	8.99727	10.6948	12.2694	10.5161	5.92387	9.70362	8.90877	8.62171	9.04732	5.12868	9.08417	13.0644	8.03039	12.384	8.39813	11.8503	11.5304	13.564	10.3956	10.1087	6.1105	12.8082	12.8165	7.92781	11.6605	10.3052	12.8393	12.0855	12.2907	9.52861	11.4126	14.9326	10.163	8.69864	11.195	5.53179	14.9	12.3648	14.4031	13.3724	10.3951	11.9172	14.2633	9.37942	11.6266	10.0231	12.5087
hsa-let-7c	9.21774	13.0626	11.93	11.4906	12.8857	11.9638	9.70447	9.56815	11.0015	12.3396	11.3219	11.6701	12.4774	11.3739	11.053	10.0371	9.6402	11.0823	9.61179	10.6103	8.51208	12.5862	12.0017	12.084	8.70871	9.34193	10.195	12.0892	12.1287	6.65248	10.0733	10.8725	9.21924	10.7502	11.5086	7.82265	9.18579	9.19903	11.5333	9.11318	11.2052	10.2273	9.8137	11.6126	9.27852	10.2451	12.3572	10.7551	11.7287	11.9975
hsa-mir-140	11.1903	10.2534	10.7466	10.5925	10.0262	11.2638	11.0675	11.0342	10.231	9.59055	10.5513	11.322	10.9749	9.15503	10.5582	10.5986	10.4335	10.5153	9.78928	10.4431	10.0478	10.7332	10.6297	11.1301	8.47721	10.9454	9.98525	10.5442	11.034	10.6437	10.3446	10.7909	10.0957	9.72254	10.1219	11.1144	10.6137	10.7824	11.1205	9.58021	9.95961	10.8461	9.56312	10.4042	10.0638	9.07387	10.6921	10.9368	10.3956	10.6446
hsa-mir-199b	8.55271	8.52417	11.1238	12.6282	10.5605	12.6365	11.4542	7.24198	6.96075	10.5479	12.6536	12.086	10.3796	9.60737	11.5884	12.3974	11.4623	10.7083	10.5649	10.8962	12.0726	10.1325	11.8787	8.2813	12.0086	11.0339	8.43648	6.44653	10.2287	7.54667	11.7692	12.7373	10.8313	8.54383	10.3456	8.82026	10.6119	10.4147	9.83107	11.3631	8.9247	11.7932	11.7794	9.87103	10.075	10.712	12.3759	9.11349	11.4773	8.08705
hsa-mir-532	12.1368	10.8078	10.7865	8.91148	9.94131	10.9155	10.7518	12.8471	10.7777	11.6723	9.9914	10.9513	10.2316	10.896	11.1535	10.4254	10.276	10.2163	11.6796	9.79689	10.1864	10.2658	10.0989	11.0585	9.8994	10.2767	10.5856	10.4951	9.57453	11.2274	8.85068	9.71899	9.68202	11.3483	10.1588	11.2752	10.9028	8.48923	11.1382	9.95476	9.95996	9.96837	8.89899	9.33056	9.91546	8.9422	9.90511	10.6601	10.1784	11.7577
hsa-mir-181a-2	10.5859	10.2854	9.67598	9.87074	9.32606	11.9488	10.524	8.71008	12.2304	10.864	10.8288	10.0698	10.4063	10.0765	9.9283	10.5093	10.0044	9.24997	13.0773	10.0112	10.9221	9.15091	9.6751	8.55746	12.0619	11.7082	10.1013	8.03534	9.1311	9.67978	11.1204	9.77825	10.2952	9.39054	11.8949	9.14539	10.6688	10.7962	8.62431	11.236	9.63987	10.9613	11.8124	9.43365	9.58849	11.4707	11.0215	12.9884	9.57301	9.26745
hsa-mir-27a	10.4533	9.82512	10.5454	10.3568	10.0822	10.1239	11.2464	8.27353	8.23269	9.33119	11.3981	11.3962	9.39581	8.7068	11.6017	10.402	10.4628	9.14905	8.84394	9.88152	12.3981	9.84675	11.232	8.53851	12.4859	10.1977	9.04663	8.75947	10.0765	9.69442	12.2913	10.8498	10.9353	9.63016	10.1027	9.29621	11.0176	11.3859	9.79523	12.2257	9.55282	12.5565	12.1104	9.66245	9.47031	11.0492	11.1649	8.89057	10.0976	10.247
hsa-mir-199a-2	8.20555	8.18049	10.7566	12.4592	10.2442	12.4734	11.13	7.03794	6.57572	10.2383	12.2829	11.7038	10.0709	9.34214	11.1747	12.1973	11.1935	10.6027	10.5551	10.6492	11.7424	9.82443	11.4967	8.02423	11.6147	10.8811	8.14515	6.23365	9.78749	7.13221	11.3744	12.3536	10.5099	8.23915	9.98887	8.47306	10.1989	9.99502	9.44885	10.993	8.50636	11.4039	11.4551	9.5237	10.0718	10.4114	12.0947	9.08725	11.1231	7.59828
hsa-mir-146b	11.1647	12.0941	9.80288	10.9136	10.0418	12.4005	8.79005	10.6642	10.1904	10.0225	10.5433	10.3706	9.4016	11.397	8.84894	11.1512	9.50544	12.6754	11.3636	12.8046	8.51639	9.48969	10.5975	10.0881	7.2951	10.0658	11.481	10.0008	11.0895	9.10473	9.66394	8.71328	8.08394	13.1707	10.8222	12.0663	10.279	9.7815	8.72151	7.49166	10.9664	9.59242	6.35041	10.428	8.31536	9.01903	8.84714	7.70901	11.6507	10.6544
hsa-mir-30b	9.32117	8.75704	10.4932	10.4058	10.7494	10.8399	10.0291	8.85351	8.43887	10.044	9.94157	10.2498	9.33232	8.39729	9.32639	9.12245	10.6179	9.86142	8.97278	9.33005	11.0652	9.74808	11.8366	7.70532	11.4127	9.16679	10.1385	10.0471	8.16365	10.3263	11.7863	9.1754	11.3821	11.9487	9.0485	8.50383	11.6363	9.56445	11.0114	12.502	11.0991	11.0281	11.5193	9.32184	9.03035	10.5844	11.8505	10.3709	10.1606	9.95321
