id	TCGA-UB-A7ME_Alive	TCGA-DD-A4NL_Alive	TCGA-DD-A11C_Alive	TCGA-2Y-A9H7_Alive	TCGA-RC-A7S9_Alive	TCGA-G3-AAV2_Alive	TCGA-DD-A1EI_Alive	TCGA-FV-A496_Alive	TCGA-DD-AADL_Alive	TCGA-ZS-A9CF_Alive	TCGA-ZS-A9CFa_Alive	TCGA-RC-A6M3_Alive	TCGA-DD-AACJ_Alive	TCGA-DD-AACG_Dead	TCGA-UB-A7MF_Dead	TCGA-CC-A9FU_Alive	TCGA-DD-A3A4_Dead	TCGA-DD-AAD6_Alive	TCGA-DD-A115_Dead	TCGA-DD-A3A9_Dead	TCGA-DD-A119_Dead
ENSG00000224114.1	0.505077	0.337687	0.408318	0.637079	0.563175	0.74474	0.361877	0.597684	0.532361	0.313772	0.313772	0.385399	0.83542	0.455639	0.480066	1.01081	0.286957	0.25821	0.223321	0.683862	0.431264
ENSG00000263558.2	0.505077	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.74474	0.563175	0.563175	0.385399	0.83542	0.637079	0.408318	0.683862	0.431264	0.455639	0.597684	1.01081	0.532361
ENSG00000237593.1	0.408318	0.175109	0.223321	0.25821	0.286957	0.313772	1.01081	0.337687	0.361877	0.385399	0.385399	0.431264	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.683862	0.74474
ENSG00000115592.10	0.175109	0.385399	0.480066	0.74474	0.505077	0.455639	0.637079	0.563175	0.223321	0.408318	0.408318	0.286957	1.01081	0.83542	0.337687	0.683862	0.313772	0.532361	0.431264	0.597684	0.361877
ENSG00000273069.1	0.683862	0.431264	0.25821	0.313772	0.408318	0.597684	0.480066	0.505077	0.337687	0.385399	0.385399	0.83542	0.361877	1.01081	0.637079	0.74474	0.286957	0.563175	0.223321	0.175109	0.532361
ENSG00000198301.10	0.361877	0.337687	0.74474	0.637079	0.286957	0.313772	0.563175	0.597684	0.505077	0.83542	0.83542	0.385399	0.431264	0.223321	1.01081	0.532361	0.683862	0.408318	0.455639	0.25821	0.175109
ENSG00000232752.1	0.385399	0.175109	0.683862	0.223321	0.25821	0.286957	0.313772	0.74474	0.337687	0.361877	0.361877	0.83542	1.01081	0.408318	0.431264	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684
ENSG00000259379.1	0.563175	0.74474	1.01081	0.286957	0.532361	0.175109	0.223321	0.25821	0.83542	0.313772	0.313772	0.361877	0.597684	0.385399	0.408318	0.637079	0.431264	0.455639	0.480066	0.505077	0.683862
ENSG00000170903.9	0.25821	0.337687	0.683862	0.637079	0.361877	0.286957	0.597684	0.563175	0.83542	0.408318	0.408318	0.455639	0.505077	0.385399	0.175109	1.01081	0.480066	0.431264	0.532361	0.313772	0.223321
ENSG00000249115.7	0.637079	0.175109	0.337687	0.361877	0.563175	0.480066	0.532361	0.385399	0.505077	0.455639	0.455639	1.01081	0.286957	0.683862	0.74474	0.83542	0.25821	0.597684	0.431264	0.408318	0.223321
ENSG00000064932.14	0.563175	0.597684	0.74474	0.361877	0.532361	0.505077	0.385399	0.286957	0.480066	0.431264	0.431264	1.01081	0.455639	0.175109	0.83542	0.637079	0.313772	0.25821	0.337687	0.408318	0.223321
ENSG00000232197.1	0.408318	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	1.01081	0.361877	0.385399	0.385399	0.431264	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.83542	0.683862
